2022-03-16 10:06:54,081 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:06:59,141 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:04,208 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:09,263 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:14,347 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:19,391 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:24,459 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:29,521 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:34,572 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:39,632 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:44,692 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:49,744 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:54,801 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:07:59,867 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:08:04,918 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
