2022-03-19 09:32:33,235 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:32:38,290 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:02,111 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:07,171 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:12,229 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:17,284 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:22,347 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:27,397 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:32,451 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:37,494 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:42,551 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:47,607 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:52,662 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:33:57,722 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:34:02,785 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:34:07,830 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:34:12,892 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:34:17,943 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:34:23,010 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:34:28,050 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:35:09,937 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.79999924, 'heat': 87.44000244, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:35:14,998 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:35:20,048 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:35:25,103 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.70000076, 'heat': 87.26000214, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:35:30,168 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.70000076, 'heat': 87.26000214, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:35:35,259 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.70000076, 'heat': 87.26000214, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:35:40,323 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.70000076, 'heat': 87.26000214, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:35:45,380 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.79999924, 'heat': 87.44000244, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:40:23,597 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:40:28,602 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:40:33,639 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:40:40,535 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:40:43,736 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:40:48,726 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:40:53,845 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:40:58,855 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:41:03,857 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:41:11,730 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:41:13,977 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.79999924, 'heat': 87.44000244, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:41:31,032 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:41:36,056 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:41:41,072 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:41:46,076 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:41:51,084 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:41:56,081 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:42:01,089 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:42:06,107 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:42:11,112 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:42:16,113 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:42:21,107 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:42:26,130 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:42:31,141 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:43:07,513 -> DEBUG :temp(): {'humidity': 72, 'temperature': 31.29999924, 'heat': 88.33999634, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:43:12,535 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:43:17,548 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:43:22,546 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:43:27,554 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:43:32,562 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:43:37,579 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 09:43:42,585 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 10:45:21,632 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30, 'heat': 86, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 10:45:26,506 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30, 'heat': 86, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 10:45:31,578 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30, 'heat': 86, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 10:45:36,631 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30, 'heat': 86, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 10:45:41,694 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30, 'heat': 86, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 10:45:46,763 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30.10000038, 'heat': 86.18000031, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 10:45:51,822 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30, 'heat': 86, 'timestamp': 1351824120, 'firmware': 0.1}
